dataset,norm_mode,algorithm,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,gamma
Digits,False,fdkm,79.0540,0.5682,74.7319,0.6539,66.7176,0.2808,1000000.0
Digits,False,ifdkm,75.5259,4.9491,73.7686,1.1448,64.0901,3.8702,1000000.0
Digits,False,ifdfd,75.5147,4.9194,73.7890,1.0956,64.0419,3.8704,1000000.0
image+segmentation,center,kmeans,49.0857,3.1823,47.5424,4.4986,31.8053,3.4407,N/A
image+segmentation,center,diskmeans,67.0190,4.1535,68.3411,1.7656,56.6371,3.1307,100.0
image+segmentation,center,fdkm,71.9048,5.1730,71.5921,2.4507,61.1254,4.2550,1.0
image+segmentation,center,ifdkm,67.0857,4.1791,68.4598,1.8749,56.7196,3.2332,100.0
image+segmentation,center,ifdfd,67.0381,4.1003,68.6338,1.8209,56.8431,3.2803,100.0
image+segmentation,standardize,kmeans,56.4571,2.7630,60.4664,2.8191,47.0335,1.7650,N/A
image+segmentation,standardize,diskmeans,65.7810,5.5671,62.5310,4.7967,52.3050,6.7666,100.0
image+segmentation,standardize,fdkm,65.7238,5.0119,64.1985,4.7033,52.8356,6.1213,100.0
image+segmentation,standardize,ifdkm,60.7238,6.5651,58.5186,4.9483,47.1448,6.0437,100.0
image+segmentation,standardize,ifdfd,60.7524,6.5594,58.5822,5.0181,47.1947,6.0563,100.0
image+segmentation,pca_whiten,kmeans,62.3048,6.7037,64.9727,6.1102,51.2672,8.7559,N/A
image+segmentation,pca_whiten,diskmeans,60.3429,4.1424,60.1118,4.8734,46.1073,5.2620,10000.0
image+segmentation,pca_whiten,fdkm,62.3238,4.9356,59.8856,4.6386,46.9446,5.8900,1e-08
image+segmentation,pca_whiten,ifdkm,61.2095,6.3764,56.9906,4.9312,45.0326,6.7048,1e-08
image+segmentation,pca_whiten,ifdfd,60.9333,6.4851,56.5950,5.7933,44.2392,7.3319,1e-08
image+segmentation,l2_sample,kmeans,44.0857,3.9294,36.7194,1.4284,25.9979,3.2680,N/A
image+segmentation,l2_sample,diskmeans,67.2095,4.3438,62.6183,2.7500,51.2511,4.2248,1e-06
image+segmentation,l2_sample,fdkm,67.9619,3.8121,62.7354,1.4460,50.4089,1.8459,0.01
image+segmentation,l2_sample,ifdkm,67.2857,2.5564,64.0120,1.8941,51.1864,2.9595,0.01
image+segmentation,l2_sample,ifdfd,67.3905,2.6502,63.5902,0.8623,50.4678,1.5945,0.01
image+segmentation,center_l2,kmeans,51.0476,2.0364,51.9346,0.9595,37.1990,2.0109,N/A
image+segmentation,center_l2,diskmeans,68.6571,5.6382,66.0782,3.7900,56.4273,5.8176,0.0001
image+segmentation,center_l2,fdkm,75.2381,3.0354,71.6848,1.9365,64.1497,2.8443,0.0001
image+segmentation,center_l2,ifdkm,64.5714,6.2484,63.6768,5.7003,52.6236,7.1547,0.0001
image+segmentation,center_l2,ifdfd,67.1048,7.6066,65.3590,5.6576,55.3224,7.3470,0.0001
image+segmentation,frobenius,kmeans,49.0857,3.1823,47.5424,4.4986,31.8053,3.4407,N/A
image+segmentation,frobenius,diskmeans,69.4667,5.4370,65.9326,3.7179,54.6980,5.8219,1e-08
image+segmentation,frobenius,fdkm,71.3333,5.2461,69.6168,3.3373,59.3517,4.8872,1e-08
image+segmentation,frobenius,ifdkm,72.4857,2.8454,67.9234,3.0152,58.2278,4.2030,1e-08
image+segmentation,frobenius,ifdfd,68.0095,6.5634,64.3898,3.5671,52.6231,6.5798,0.0001
image+segmentation,robust,kmeans,18.5619,5.6715,8.5880,11.1300,2.0966,4.0654,N/A
image+segmentation,robust,diskmeans,73.4476,1.4964,68.5660,2.0543,59.2378,2.6738,1.0
image+segmentation,robust,fdkm,75.8571,1.3093,71.7403,1.9804,63.5674,2.2185,1.0
image+segmentation,robust,ifdkm,72.5619,4.8009,67.9715,3.8145,58.4278,5.2484,1.0
image+segmentation,robust,ifdfd,74.4286,1.6490,69.8083,2.0790,61.0044,2.7519,1.0
image+segmentation,minmax,kmeans,62.8286,5.3239,61.5292,0.5475,48.1893,3.2715,N/A
image+segmentation,minmax,diskmeans,70.4857,4.9113,66.5127,4.9272,57.7755,6.3947,1.0
image+segmentation,minmax,fdkm,71.1810,1.5221,66.9111,1.4896,57.1229,1.8818,100.0
image+segmentation,minmax,ifdkm,72.4571,2.5062,67.2857,2.4948,58.6625,3.3111,1.0
image+segmentation,minmax,ifdfd,72.4571,2.5935,67.4930,2.6722,58.7965,3.4762,1.0
image+segmentation,row_center,kmeans,45.8190,3.1451,42.8800,4.7563,28.2192,4.1653,N/A
image+segmentation,row_center,diskmeans,71.8571,3.9467,68.0984,2.8927,57.6656,4.9748,1.0
image+segmentation,row_center,fdkm,65.5429,6.4166,62.7448,3.5959,50.0348,6.3959,10000.0
image+segmentation,row_center,ifdkm,72.4762,3.7363,68.5927,3.3635,58.7930,4.9585,1.0
image+segmentation,row_center,ifdfd,74.5524,1.6080,70.5321,1.5189,61.5971,1.9094,1.0
image+segmentation,double_center,kmeans,45.8190,3.1451,42.8800,4.7563,28.2192,4.1653,N/A
image+segmentation,double_center,diskmeans,68.9619,5.2534,65.9566,3.5226,54.2373,5.8848,1.0
image+segmentation,double_center,fdkm,71.7714,5.2247,71.1537,2.7482,60.6945,4.5355,1.0
image+segmentation,double_center,ifdkm,70.3714,5.2980,67.0166,3.6222,56.3667,5.9723,1.0
image+segmentation,double_center,ifdfd,70.2762,5.1498,67.0425,3.5336,56.2510,5.8590,1.0
image+segmentation,False,kmeans,49.0857,3.1823,47.5424,4.4986,31.8053,3.4407,N/A
image+segmentation,False,diskmeans,67.0000,4.1522,68.3119,1.8021,56.5948,3.1357,100.0
image+segmentation,False,fdkm,74.1524,1.3164,67.5734,0.8550,58.5159,1.2375,10000.0
image+segmentation,False,ifdkm,72.7810,2.4783,68.6813,3.2607,59.0129,4.0837,1.0
image+segmentation,False,ifdfd,68.3333,6.9882,64.3254,3.8580,52.9688,7.0035,10000.0
coil-100,center,kmeans,61.8722,1.3096,83.2531,0.4100,56.4459,1.1517,N/A
coil-100,center,diskmeans,57.4444,1.3859,81.0156,0.3810,51.9637,1.6770,100000000.0
coil-100,center,fdkm,60.7472,0.8770,83.0569,0.2974,55.9168,1.0445,100000000.0
coil-100,center,ifdkm,56.4333,1.7933,80.4566,0.6072,50.3862,1.7173,100000000.0
coil-100,center,ifdfd,57.1417,1.6787,81.2791,0.4978,51.6028,1.2301,100000000.0
coil-100,standardize,kmeans,57.2111,1.6820,81.5345,0.5398,51.0667,1.2527,N/A
coil-100,standardize,diskmeans,53.6889,2.1958,80.8149,0.8226,49.3065,2.6099,1000000.0
coil-100,standardize,fdkm,56.2361,0.5917,80.9298,0.4140,50.7227,1.3386,10000.0
coil-100,standardize,ifdkm,58.2222,1.4976,81.4645,0.4990,51.9620,2.2551,1000000.0
coil-100,standardize,ifdfd,59.1861,2.0126,81.9344,0.5468,52.7352,2.3242,1000000.0
coil-100,pca_whiten,kmeans,4.2667,0.4414,7.6407,0.5546,0.1165,0.0332,N/A
coil-100,pca_whiten,diskmeans,10.0583,0.3891,22.1479,0.1355,4.3907,0.3282,1e-08
coil-100,pca_whiten,fdkm,32.7639,0.7435,58.2963,0.4303,13.1847,2.1544,10000.0
coil-100,pca_whiten,ifdkm,9.3806,0.7819,22.1855,0.1611,4.5898,0.3184,1e-08
coil-100,pca_whiten,ifdfd,30.7611,2.2395,56.2317,1.6912,12.6765,4.3984,1e-08
coil-100,l2_sample,kmeans,60.2056,1.2292,82.3024,0.5555,55.3897,1.2742,N/A
coil-100,l2_sample,diskmeans,56.0694,1.7113,78.4476,0.7709,47.4277,1.6006,1.0
coil-100,l2_sample,fdkm,58.1028,0.9878,81.1480,0.2809,50.0922,1.5215,1.0
coil-100,l2_sample,ifdkm,60.2444,1.1654,81.9910,0.3926,55.1687,0.8756,100.0
coil-100,l2_sample,ifdfd,62.2528,0.4848,82.5803,0.3079,57.5754,0.6688,10000.0
coil-100,center_l2,kmeans,61.6639,1.7835,83.2236,0.5295,56.9306,1.3015,N/A
coil-100,center_l2,diskmeans,57.7861,1.9292,81.9054,0.4117,52.9518,0.7503,100.0
coil-100,center_l2,fdkm,58.2250,0.9242,81.7028,0.2621,49.8083,0.6303,1.0
coil-100,center_l2,ifdkm,59.3972,1.9088,81.8789,0.5059,53.3366,1.7383,10000.0
coil-100,center_l2,ifdfd,61.4333,0.1820,83.0916,0.2541,55.9816,0.4174,10000.0
coil-100,frobenius,kmeans,61.8722,1.3096,83.2531,0.4100,56.4459,1.1517,N/A
coil-100,frobenius,diskmeans,55.5306,2.3609,81.4591,0.3243,51.6059,1.0565,0.01
coil-100,frobenius,fdkm,57.9278,1.0911,81.7396,0.5903,50.7131,3.1414,0.0001
coil-100,frobenius,ifdkm,58.4278,0.7796,81.9590,0.3036,54.2160,0.7368,0.01
coil-100,frobenius,ifdfd,59.5500,0.4551,82.6082,0.3254,55.3069,0.6180,0.01
coil-100,robust,kmeans,24.2444,0.6439,59.9208,0.7196,11.4861,1.3597,N/A
coil-100,robust,diskmeans,43.2111,1.3922,68.3334,0.7570,30.5695,1.8598,10000.0
coil-100,robust,fdkm,41.2694,1.2851,67.8256,0.7002,12.8833,0.7064,100.0
coil-100,robust,ifdkm,37.8750,2.3547,66.6287,1.2747,25.0179,2.4177,10000.0
coil-100,robust,ifdfd,37.6972,2.1436,67.9730,1.0719,24.2872,3.2429,10000.0
coil-100,minmax,kmeans,62.6083,0.5346,83.4946,0.1740,56.7708,0.8336,N/A
coil-100,minmax,diskmeans,57.6278,1.2188,81.8883,0.4198,53.3462,0.6880,10000.0
coil-100,minmax,fdkm,56.9222,1.0594,82.7658,0.3586,54.1242,0.8067,10000.0
coil-100,minmax,ifdkm,59.5472,2.2424,82.2129,0.7986,54.4498,1.8568,10000.0
coil-100,minmax,ifdfd,58.6500,1.0249,83.0283,0.1933,54.6082,0.4996,1000000.0
coil-100,row_center,kmeans,60.8333,0.9383,83.0823,0.3981,55.9961,0.8085,N/A
coil-100,row_center,diskmeans,54.9333,2.2839,79.7388,0.6771,48.7567,2.1393,100000000.0
coil-100,row_center,fdkm,59.1444,0.9823,82.2168,0.5017,54.3225,1.2323,100000000.0
coil-100,row_center,ifdkm,56.3500,1.2651,80.1675,0.3547,50.0469,1.1456,100000000.0
coil-100,row_center,ifdfd,56.9028,1.2180,80.6989,0.4970,50.4593,1.3009,100000000.0
coil-100,double_center,kmeans,60.8333,0.9383,83.0823,0.3981,55.9961,0.8085,N/A
coil-100,double_center,diskmeans,56.4583,1.7837,80.3982,0.3563,50.3565,1.2355,100000000.0
coil-100,double_center,fdkm,60.0889,0.9437,82.9984,0.4588,55.9220,0.9403,100000000.0
coil-100,double_center,ifdkm,57.1917,1.9845,80.4853,0.8057,50.6700,2.0523,100000000.0
coil-100,double_center,ifdfd,58.1389,1.7140,81.4610,0.8233,52.1744,2.1671,100000000.0
coil-100,False,kmeans,61.8722,1.3096,83.2531,0.4100,56.4459,1.1517,N/A
coil-100,False,diskmeans,55.8611,1.5886,80.4799,0.1020,50.3099,1.1773,100000000.0
coil-100,False,fdkm,59.8944,0.7506,82.7014,0.1486,55.1055,0.8185,100000000.0
coil-100,False,ifdkm,55.5278,1.8800,80.1174,0.5174,49.2176,2.0213,100000000.0
coil-100,False,ifdfd,56.3472,1.6413,80.8386,0.5021,50.3466,1.5409,100000000.0
